scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sub_category_encoded,fund_size_cr_log,expense_ratio_log,cluster,is_top_performer
Bank of India Ultra Short Duration Fund,1000,5000,0.36,118.0,10,Mithraem Bharucha,2.16,2.06,0.52,1.12,1.07,3,Bank of India Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.7,5.7,36,4.77912349311153,0.3074846997479606,2,0
Baroda BNP Paribas Aggressive Hybrid Fund,300,5000,0.61,772.0,6,Jitendra Sriram,2.79,1.88,11.77,0.79,1.39,6,Baroda BNP Paribas Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,3.5,20.6,13.3,0,6.650279048587422,0.4762341789963716,3,1
Baroda BNP Paribas Arbitrage Fund,300,5000,0.49,354.0,6,Neeraj Saxena,0.99,1.39,0.71,0.59,0.85,1,Baroda BNP Paribas Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.2,4.6,5.6,1,5.872117789475416,0.3987761199573678,2,0
Baroda BNP Paribas Balanced Advantage Fund,500,5000,0.64,3123.0,4,Sanjay Chawla,3.41,2.61,10.57,0.7,1.46,6,Baroda BNP Paribas Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,8.9,9,8.046869510959576,0.49469624183610705,3,0
Baroda BNP Paribas Banking & PSU Bond Fund,500,5000,0.39,40.0,2,Prashant Pimple,2.87,1.855,12.3,0.86,1.29,2,Baroda BNP Paribas Mutual Fund,2,Debt,Banking and PSU Mutual Funds,2.5,18.5,8.9,2,3.713572066704308,0.3293037471426004,1,0
Baroda BNP Paribas Banking&Fin Serv Fund,500,5000,1.63,69.0,10,Miten Vora,1.77,-2.87,22.87,0.89,0.82,6,Baroda BNP Paribas Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,6.6,19.2,9.1,33,4.248495242049359,0.9669838461896731,0,0
Baroda BNP Paribas Conservative Hybrid Fund,300,1000,0.78,501.0,10,Pratish Krishnan,2.74,0.64,3.7,0.58,1.29,4,Baroda BNP Paribas Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,3.7,9.2,7.7,4,6.218600119691729,0.5766133643039938,2,0
Baroda BNP Paribas Corporate Bond Fund,300,5000,0.32,17.0,10,Mayank Prakash,0.63,0.69,2.22,0.9,0.43,2,Baroda BNP Paribas Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.8,5.6,4.4,6,2.8903717578961645,0.2776317365982795,2,0
Baroda BNP Paribas Credit Risk Fund,500,5000,0.78,179.0,8,Prashant Pimple,1.9,1.72,5.8,-3.29,1.06,4,Baroda BNP Paribas Mutual Fund,5,Debt,Credit Risk Funds,5.7,10.9,7.6,7,5.19295685089021,0.5766133643039938,2,0
Baroda BNP Paribas Dynamic Bond Fund,300,1000,0.71,115.0,10,Mayank Prakash,0.56,0.91,2.65,1.36,0.49,3,Baroda BNP Paribas Mutual Fund,2,Debt,Dynamic Bond,5.2,5.7,6.6,10,4.7535901911063645,0.5364933705145685,2,0
Baroda BNP Paribas ELSS Fund,500,500,1.12,651.0,10,Sanjay Chawla,2.92,-0.94,14.42,0.83,1.29,6,Baroda BNP Paribas Mutual Fund,3,Equity,ELSS Mutual Funds,-2.4,20.4,10.5,11,6.480044561926653,0.7514160886839212,0,0
Baroda BNP Paribas Equity Savings Fund,500,5000,1.45,250.0,4,Pratish Krishnan,2.42,0.25,4.91,0.73,1.12,4,Baroda BNP Paribas Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,3.7,9.8,8.9,12,5.5254529391317835,0.8960880245566356,0,0
Baroda BNP Paribas Focused Fund,300,5000,0.67,299.0,5,Sanjay Chawla,2.96,-1.21,14.73,0.85,1.27,6,Baroda BNP Paribas Mutual Fund,3,Equity,Focused Funds,0.5,23.1,9.9,18,5.703782474656201,0.5128236264286639,1,0
Baroda BNP Paribas Gilt Fund,500,5000,0.14,138.0,10,Mayank Prakash,0.34,0.07,2.89,0.66,0.28,3,Baroda BNP Paribas Mutual Fund,2,Debt,Gilt Mutual Funds,3.7,4.9,6.8,19,4.9344739331306915,0.13102826240640408,2,0
Baroda BNP Paribas India Consumption Fund,300,5000,0.81,880.0,5,Shiv Chanani,3.08,2.41,13.62,0.71,1.38,6,Baroda BNP Paribas Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.2,23.3,8.9,33,6.78105762593618,0.5933268452777344,0,0
Baroda BNP Paribas Large Cap Fund,300,5000,0.94,1347.0,10,Jitendra Sriram,2.71,-0.18,14.57,0.86,1.32,6,Baroda BNP Paribas Mutual Fund,4,Equity,Large Cap Mutual Funds,3.0,23.5,12.8,22,7.206377291472252,0.6626879730752367,3,1
Baroda BNP Paribas Liquid Fund,500,5000,0.19,6686.0,10,Vikram Pamnani,4.11,1.32,0.38,0.72,0.93,2,Baroda BNP Paribas Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.4,5.4,23,8.80792062205398,0.17395330712343804,4,0
Baroda BNP Paribas Low Duration Fund,300,5000,0.39,175.0,10,Mayank Prakash,2.55,3.17,0.96,1.28,1.51,3,Baroda BNP Paribas Mutual Fund,3,Debt,Low Duration Funds,5.0,6.0,6.5,24,5.170483995038151,0.3293037471426004,2,0
Baroda BNP Paribas Medium Duration Fund,300,5000,0.69,37.0,9,Mayank Prakash,0.42,0.42,2.34,1.16,0.32,3,Baroda BNP Paribas Mutual Fund,2,Debt,Medium Duration Funds,3.9,5.0,3.5,25,3.6375861597263857,0.5247285289349821,2,0
Baroda BNP Paribas Mid Cap Fund,300,5000,0.59,1192.0,10,Shiv Chanani,3.35,1.31,15.92,0.86,1.67,6,Baroda BNP Paribas Mutual Fund,3,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6,27,7.084226422097916,0.4637340162321401,3,1
Baroda BNP Paribas Money Market Fund,500,5000,0.2,111.0,4,Vikram Pamnani,0.91,1.72,0.46,1.15,0.38,2,Baroda BNP Paribas Mutual Fund,2,Debt,Money Market Funds,5.0,4.1,8.9,28,4.718498871295094,0.18232155679395465,2,0
Baroda BNP Paribas Multi Cap Fund,500,5000,1.1,1628.0,10,Sanjay Chawla,3.05,2.11,16.27,0.9,1.44,6,Baroda BNP Paribas Mutual Fund,2,Equity,Multi Cap Funds,-1.7,28.8,12.3,30,7.395721608602045,0.7419373447293773,3,1
Baroda BNP Paribas Overnight Fund,500,5000,0.08,423.0,4,Vikram Pamnani,0.32,0.62,0.34,0.45,0.05,1,Baroda BNP Paribas Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,8.9,31,6.049733455231958,0.07696104113612832,2,0
Baroda BNP Paribas Short Duration Fund,500,5000,0.37,235.0,10,Prashant Pimple,1.23,3.6,1.75,1.55,0.88,3,Baroda BNP Paribas Mutual Fund,3,Debt,Short Duration Funds,4.2,5.7,6.7,34,5.4638318050256105,0.31481073984003355,2,0
Baroda BNP Paribas Ultra Short Duration Fund,500,5000,0.22,560.0,5,Vikram Pamnani,3.14,2.59,0.53,1.24,1.77,2,Baroda BNP Paribas Mutual Fund,3,Debt,Ultra Short Duration Funds,5.7,5.1,8.9,36,6.329720905522696,0.1988508587451652,4,0
BHARAT Bond FOF – April 2025 – Direct Growth,500,1000,0.06,3912.0,3,Dhawal Dalal,2.87,1.855,12.3,0.86,1.29,2,Edelweiss Mutual Fund,2,Other,FoFs Domestic,2.6,18.5,8.9,16,8.272059622210412,0.05826890812397577,1,0
Canara Robeco Bluechip Equity Fund,1000,5000,0.48,8672.0,10,Shridatta Bhandwaldar,3.07,0.16,14.97,0.89,1.35,6,Canara Robeco Mutual Fund,5,Equity,Large Cap Mutual Funds,1.7,24.3,14.4,22,9.067970030684457,0.3920420877760237,3,1
Canara Robeco Conservative Hybrid Fund,1000,5000,0.57,1069.0,10,Avnish Jain,3.41,2.59,3.98,0.6,1.74,4,Canara Robeco Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4,4,6.975413927455952,0.4510756193602166,4,0
Canara Robeco Consumer Trends Fund,1000,5000,1.0,935.0,10,Shridatta Bhandwaldar,3.47,4.63,14.66,0.74,1.48,6,Canara Robeco Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.1,26.7,15.1,33,6.841615476477592,0.6931471805599453,3,1
Canara Robeco Corporate Bond Fund,1000,5000,0.39,191.0,9,Avnish Jain,1.35,1.33,1.81,0.77,0.85,2,Canara Robeco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.0,6.0,6.7,6,5.2574953720277815,0.3293037471426004,2,0
Canara Robeco Dynamic Bond Fund,1000,5000,0.66,116.0,10,Kunal Jain,0.64,0.74,2.17,1.02,0.47,3,Canara Robeco Mutual Fund,3,Debt,Dynamic Bond,4.7,5.3,6.6,10,4.762173934797756,0.5068176023684519,2,0
Canara Robeco Emerging Equities – Direct Growth,1000,5000,0.6,15261.0,10,Shridatta Bhandwaldar,3.36,2.48,15.69,0.89,1.47,6,Canara Robeco Mutual Fund,3,Equity,Large & Mid Cap Funds,-0.2,27.0,12.6,21,9.633121357849578,0.4700036292457356,3,1
Canara Robeco Equity Hybrid Fund,1000,5000,0.63,8235.0,10,Shridatta Bhandwaldar,3.25,1.49,11.27,0.78,1.4,6,Canara Robeco Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.8,20.1,12.2,0,9.01627006814768,0.48858001481867097,3,1
Canara Robeco Equity Tax Saver Fund,500,500,0.64,4685.0,10,Vishal Mishra,3.08,2.7,15.37,0.87,1.51,6,Canara Robeco Mutual Fund,5,Equity,ELSS Mutual Funds,1.2,27.7,15.5,11,8.452334619067742,0.49469624183610705,3,1
Canara Robeco Flexi Cap Fund,1000,5000,0.55,8630.0,10,Shridatta Bhandwaldar,2.84,0.32,14.9,0.87,1.39,6,Canara Robeco Mutual Fund,4,Equity,Flexi Cap Funds,-0.9,24.8,13.8,14,9.063115652219658,0.4382549309311553,3,1
Canara Robeco Gilt Fund,1000,5000,0.54,80.0,10,Kunal Jain,0.55,0.47,2.52,0.55,0.43,3,Canara Robeco Mutual Fund,3,Debt,Gilt Mutual Funds,4.3,5.1,7.0,19,4.394449154672439,0.43178241642553783,2,0
Canara Robeco Income Fund,1000,5000,0.75,125.0,10,Avnish Jain,0.69,0.87,2.74,1.32,0.45,3,Canara Robeco Mutual Fund,3,Debt,Medium to Long Duration Funds,3.9,5.8,7.0,26,4.836281906951478,0.5596157879354227,2,0
Canara Robeco Infrastructure – Direct Growth,1000,5000,1.32,247.0,10,Shridatta Bhandwaldar,3.99,8.463750000000001,16.53,0.59,1.8,6,Canara Robeco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,13.7,34.9,12.2,33,5.5134287461649825,0.8415671856782186,0,1
Canara Robeco Liquid Fund,1000,5000,0.11,2548.0,10,Kunal Jain,3.04,1.07,0.39,0.66,0.47,2,Canara Robeco Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.1,5.1,23,7.8434564043761155,0.10436001532424277,4,0
Canara Robeco Overnight Fund,0,5000,0.1,216.0,4,Suman Prasad,0.03,0.61,0.34,0.45,0.0,1,Canara Robeco Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,8.9,31,5.37989735354046,0.09531017980432487,2,0
Canara Robeco Savings Fund,1000,5000,0.31,1003.0,10,Kunal Jain,2.24,2.64,0.77,1.33,1.12,2,Canara Robeco Mutual Fund,2,Debt,Low Duration Funds,5.0,5.2,5.9,24,6.911747300251674,0.27002713721306015,2,0
Canara Robeco Short Duration Fund,1000,5000,0.47,520.0,10,Suman Prasad,1.68,3.98,1.59,1.95,0.87,2,Canara Robeco Mutual Fund,3,Debt,Short Duration Funds,4.1,5.9,6.5,34,6.255750041753367,0.3852624007906449,2,0
Canara Robeco Small Cap Fund,1000,5000,0.47,4831.0,4,Shridatta Bhandwaldar,4.62,8.463750000000001,17.75,0.79,2.17,6,Canara Robeco Mutual Fund,5,Equity,Small Cap Mutual Funds,-0.6,51.8,8.9,35,8.48301573961465,0.3852624007906449,3,0
Canara Robeco Ultra Short Term Fund,500,500,0.4,565.0,10,Suman Prasad,2.11,1.82,0.51,1.04,0.84,2,Canara Robeco Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.5,5.3,36,6.338594078203183,0.33647223662121295,2,0
DSP Arbitrage Fund,500,500,0.35,1238.0,5,Kedar Karnik,1.08,1.45,0.72,0.64,0.82,1,DSP Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.6,5.4,1,7.122059881629142,0.3001045924503381,2,0
DSP Banking & Psu Debt Fund,500,500,0.33,2463.0,10,Vikram Chopra,1.59,4.78,1.87,2.4,0.84,2,DSP Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.0,6.4,6.9,2,7.80954132465341,0.2851789422336624,2,0
DSP Bond Fund,500,500,0.39,333.0,10,Vivek Ramakrishnan,0.98,1.17,2.36,1.02,0.62,3,DSP Mutual Fund,3,Debt,Medium Duration Funds,3.8,6.1,4.9,25,5.811140992976701,0.3293037471426004,2,0
DSP Corporate Bond Fund,500,500,0.25,2065.0,5,Vivek Ramakrishnan,0.59,0.76,2.16,0.73,0.45,3,DSP Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.6,5.6,8.9,6,7.633369649679584,0.22314355131420976,2,0
DSP Credit Risk Fund,500,500,0.38,210.0,10,Laukik Bagwe,1.23,2.84,4.32,0.26,0.58,4,DSP Mutual Fund,3,Debt,Credit Risk Funds,10.8,6.6,4.5,7,5.351858133476067,0.3220834991691133,2,0
DSP Dynamic Asset Allocation Fund,500,500,0.71,3770.0,9,Atul Bhole,2.7,-0.92,8.62,0.53,1.03,5,DSP Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.7,12.2,8.3,9,8.235095497258357,0.5364933705145685,4,0
DSP Equity & Bond Fund,500,500,0.78,7358.0,10,Atul Bhole,2.7,0.51,12.7,0.83,1.25,6,DSP Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7,0,8.903679332926599,0.5766133643039938,3,0
DSP Equity Opportunities Fund,500,500,0.91,7110.0,10,Rohit Singhania,2.87,1.89,16.6,0.93,1.4,6,DSP Mutual Fund,3,Equity,Large & Mid Cap Funds,3.2,31.6,11.7,21,8.869398159883518,0.6471032420585384,3,0
DSP Equity Savings Fund,500,500,0.4,535.0,7,Kedar Karnik,3.55,4.83,6.37,0.88,1.75,4,DSP Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,4.0,14.6,7.8,12,6.284134161070802,0.33647223662121295,4,0
DSP Flexi Cap Fund,500,500,0.76,7725.0,10,Atul Bhole,2.56,-1.47,16.67,0.93,1.23,6,DSP Mutual Fund,3,Equity,Flexi Cap Funds,-0.1,22.8,12.0,14,8.952346543226227,0.5653138090500605,3,0
DSP Floater Fund,500,500,0.24,983.0,2,Kedar Karnik,2.87,1.855,12.3,0.86,1.29,2,DSP Mutual Fund,1,Debt,Floater Mutual Funds,4.4,18.5,8.9,15,6.891625897052253,0.2151113796169455,1,0
DSP Focus Fund,500,500,1.08,1784.0,10,Vinit Sambre,2.4,-2.77,16.44,0.9,1.11,6,DSP Mutual Fund,2,Equity,Focused Funds,-1.7,20.4,8.9,18,7.487173694213739,0.7323678937132266,0,0
DSP Global Allocation Fund,500,500,1.43,70.0,9,Jay Kothari,1.15,1.855,10.88,0.86,0.67,6,DSP Mutual Fund,0,Other,FoFs Overseas,0.6,12.6,7.9,17,4.2626798770413155,0.8878912573524571,0,0
DSP G-Sec Fund,500,500,0.54,430.0,10,Vikram Chopra,0.93,1.15,2.85,0.62,0.64,3,DSP Mutual Fund,4,Debt,Gilt Mutual Funds,4.4,5.9,8.6,19,6.066108090103747,0.43178241642553783,2,0
DSP Healthcare Fund,500,500,1.04,1197.0,4,Vinit Sambre,2.42,6.84,17.83,0.78,1.19,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-3.6,26.9,8.9,33,7.088408778675395,0.712949807856125,0,0
DSP India T.I.G.E.R. Fund,500,500,1.34,1797.0,10,Rohit Singhania,3.58,8.463750000000001,17.58,0.64,1.78,6,DSP Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9,33,7.494430215031565,0.8501509293696101,3,0
DSP Liquidity Fund,500,500,0.15,13582.0,10,Kedar Karnik,4.19,1.29,0.37,0.73,0.83,3,DSP Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,23,9.51657428982249,0.1397619423751587,4,0
DSP Low Duration Fund,500,500,0.3,3340.0,8,Karan Mundhara,3.06,2.97,0.83,1.35,1.4,2,DSP Mutual Fund,2,Debt,Low Duration Funds,5.1,5.5,6.3,24,8.114025442356757,0.262364264467491,4,0
DSP Midcap Fund,500,500,0.77,13213.0,10,Vinit Sambre,2.26,-4.16625,15.81,0.85,1.2,6,DSP Mutual Fund,2,Equity,Mid Cap Mutual Funds,-3.9,21.1,9.5,27,9.48903215258983,0.5709795465857378,3,0
DSP Natural Resources & New Energy – Direct Growth,500,500,1.21,673.0,10,Rohit Singhania,2.31,8.463750000000001,23.46,0.43,1.39,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-0.7,44.3,12.0,33,6.513230110912307,0.7929925155296614,0,0
DSP Nifty 50 Equal Weight Index Fund,500,500,0.4,498.0,5,Anil Ghelani,3.22,3.52,17.4,1.01,1.51,6,DSP Mutual Fund,3,Other,Index Funds,2.2,30.9,10.7,20,6.212606095751519,0.33647223662121295,1,0
DSP Nifty 50 Index Fund,500,500,0.24,271.0,4,Anil Ghelani,3.43,-0.76,16.67,0.99,1.3,6,DSP Mutual Fund,3,Other,Index Funds,0.9,25.8,8.9,20,5.605802066295998,0.2151113796169455,1,0
DSP Nifty Next 50 Index Fund,500,500,0.32,227.0,4,Anil Ghelani,1.68,-4.16625,17.93,0.97,0.97,6,DSP Mutual Fund,2,Other,Index Funds,-6.3,21.8,8.9,20,5.429345628954441,0.2776317365982795,1,0
DSP Overnight Fund,500,500,0.06,2754.0,4,Kedar Karnik,0.73,0.67,0.34,0.47,0.12,1,DSP Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,8.9,31,7.9211727215870145,0.05826890812397577,2,0
DSP Regular Savings Fund,500,500,0.51,199.0,10,Vikram Chopra,2.68,2.26,4.28,0.61,1.55,3,DSP Mutual Fund,2,Hybrid,Conservative Hybrid Mutual Funds,3.0,10.8,6.0,4,5.298317366548036,0.412109650826833,2,0
DSP Savings Fund,500,500,0.25,3903.0,10,Kedar Karnik,1.82,3.15,0.81,1.65,1.15,3,DSP Mutual Fund,2,Debt,Money Market Funds,5.0,5.3,5.9,28,8.269756947532983,0.22314355131420976,2,0
DSP Short Term Fund,500,500,0.3,2821.0,10,Laukik Bagwe,1.75,4.96,1.67,2.51,0.96,2,DSP Mutual Fund,2,Debt,Short Duration Funds,4.1,6.1,6.7,34,7.945201132412759,0.262364264467491,2,0
DSP Small Cap Fund,500,500,0.9,8953.0,10,Vinit Sambre,3.38,4.28,18.67,0.86,1.78,6,DSP Mutual Fund,2,Equity,Small Cap Mutual Funds,0.7,38.9,12.5,35,9.09985563880091,0.6418538861723948,3,1
DSP Strategic Bond Fund,500,500,0.47,481.0,10,Vikram Chopra,0.48,0.84,3.0,1.36,0.41,2,DSP Mutual Fund,3,Debt,Dynamic Bond,3.0,5.4,7.3,10,6.1779441140506,0.3852624007906449,2,0
DSP Tax Saver Fund,500,500,0.81,10129.0,10,Rohit Singhania,3.19,2.57,16.3,0.94,1.51,6,DSP Mutual Fund,4,Equity,ELSS Mutual Funds,1.8,28.8,13.3,11,9.22325659724273,0.5933268452777344,3,1
DSP Top 100 Equity Fund,500,500,1.27,2605.0,10,Abhishek Singh,2.98,-1.79,15.88,0.91,1.18,6,DSP Mutual Fund,1,Equity,Large Cap Mutual Funds,3.6,21.8,8.9,22,7.8655717576847906,0.8197798314933114,0,0
DSP Ultra Short Fund,500,500,0.3,2736.0,10,Kedar Karnik,3.54,2.39,0.52,1.19,1.54,2,DSP Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,4.9,5.5,36,7.914617709040679,0.262364264467491,4,0
DSP US Flexible Equity Fund,500,500,1.52,770.0,10,Jay Kothari,1.95,1.855,16.4,0.86,1.1,6,DSP Mutual Fund,0,Other,FoFs Overseas,2.2,23.8,13.6,17,6.647688373563329,0.9242589015233319,0,1
DSP World Gold Fund,500,500,1.81,777.0,10,Jay Kothari,1.11,1.855,36.51,0.86,0.4,6,DSP Mutual Fund,0,Other,FoFs Overseas,-9.0,14.8,10.2,17,6.656726524178391,1.0331844833456545,0,0
DSP World Mining Fund,500,500,1.5,188.0,10,Jay Kothari,1.68,1.855,28.33,0.86,1.08,6,DSP Mutual Fund,0,Other,FoFs Overseas,-5.4,37.1,15.0,17,5.241747015059643,0.9162907318741551,0,1
Edelweiss Aggressive Hybrid Fund,500,5000,0.36,469.0,10,Bharat Lahoti,3.83,5.57,11.66,0.79,1.72,6,Edelweiss Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13.0,0,6.152732694704104,0.3074846997479606,1,1
Edelweiss Arbitrage Fund,500,5000,0.37,5393.0,9,Bhavesh Jain,1.61,1.78,0.72,0.63,1.31,1,Edelweiss Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5.0,5.7,1,8.593042503699674,0.31481073984003355,2,0
Edelweiss Balanced Advantage Fund,500,5000,0.51,8780.0,10,Bhavesh Jain,3.31,2.1,9.71,0.67,1.48,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12.0,9,9.080345575359996,0.412109650826833,3,0
Edelweiss Banking & Psu Debt Fund,500,5000,0.26,355.0,10,Dhawal Dalal,0.78,6.29,3.68,3.18,0.55,3,Edelweiss Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.5,6.9,7.9,2,5.87493073085203,0.23111172096338664,2,0
Edelweiss Equity Savings Fund,500,5000,0.7,258.0,8,Bharat Lahoti,3.22,2.41,5.29,0.79,1.53,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9.0,12,5.556828061699537,0.5306282510621704,1,0
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,500,5000,1.5,83.0,9,Bhavesh Jain,1.64,1.855,19.12,0.86,0.93,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,9.2,25.2,7.6,17,4.430816798843313,0.9162907318741551,0,0
Edelweiss Flexi Cap Fund,500,5000,0.56,1056.0,8,Trideep Bhattacharya,3.41,1.91,16.02,0.92,1.46,6,Edelweiss Mutual Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1,14,6.963189985870238,0.44468582126144574,3,0
Edelweiss Govt Securities Fund,500,5000,0.66,119.0,9,Dhawal Dalal,1.63,1.77,2.77,0.61,0.88,3,Edelweiss Mutual Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2,19,4.787491742782046,0.5068176023684519,2,0
Edelweiss Greater China Equity Off-Shore Fund,500,5000,1.44,1897.0,10,Bhavesh Jain,0.6,1.855,25.75,0.86,0.3,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,-4.1,9.0,6.1,17,7.5485559791698735,0.8919980393051105,0,0
Edelweiss Large & Mid Cap Fund,500,5000,0.6,1711.0,10,Abhishek Gupta,3.56,2.77,15.87,0.9,1.47,6,Edelweiss Mutual Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2,21,7.445417556701687,0.4700036292457356,3,1
Edelweiss Large Cap Fund,500,5000,0.93,399.0,10,Bharat Lahoti,3.25,0.95,15.71,0.93,1.4,6,Edelweiss Mutual Fund,4,Equity,Large Cap Mutual Funds,4.9,26.0,12.8,22,5.991464547107982,0.6575200029167941,3,1
Edelweiss Liquid Fund,500,5000,0.15,1543.0,10,Rahul Dedhia,6.74,1.47,0.38,0.8,1.08,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,23,7.342131730584722,0.1397619423751587,4,0
Edelweiss Long Term Equity Fund,500,500,0.69,209.0,10,Trideep Bhattacharya,3.18,0.61,15.73,0.9,1.39,6,Edelweiss Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,25.6,10.2,11,5.3471075307174685,0.5247285289349821,1,0
Edelweiss Mid Cap Fund,500,5000,0.57,2530.0,10,Trideep Bhattacharya,3.85,2.21,17.63,0.96,1.73,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14.0,27,7.836369760545124,0.4510756193602166,3,1
Edelweiss Money Market Fund,500,5000,0.26,346.0,10,Dhawal Dalal,2.05,2.56,0.6,1.45,1.03,2,Edelweiss Mutual Fund,1,Debt,Money Market Funds,4.9,4.7,7.3,28,5.849324779946859,0.23111172096338664,2,0
Edelweiss Overnight Fund,500,5000,0.1,480.0,4,Rahul Dedhia,0.08,0.63,0.33,0.47,0.01,1,Edelweiss Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,8.9,31,6.175867270105761,0.09531017980432487,2,0
Edelweiss Recently Listed IPO Fund,500,5000,0.61,859.0,5,Bhavesh Jain,1.63,0.04,17.77,0.83,1.09,6,Edelweiss Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.8,24.3,10.9,33,6.756932389247553,0.4762341789963716,1,0
Edelweiss Small Cap Fund,500,5000,0.6,1458.0,4,Sahil Shah,4.17,8.463750000000001,17.99,0.81,1.98,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3.0,42.5,8.9,35,7.285506548522785,0.4700036292457356,3,0
Edelweiss US Value Equity Offshore Fund,500,5000,1.43,90.0,10,Bhavesh Jain,2.17,1.855,16.38,0.86,1.03,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,2.0,23.8,11.5,17,4.51085950651685,0.8878912573524571,0,0
Franklin Build India Fund,500,5000,1.3,1184.0,10,Ajay Argal,3.18,8.05,19.06,0.71,1.6,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16.0,36.1,13.3,33,7.077498053569231,0.832909122935104,3,1
Franklin India Banking & PSU Debt Fund,500,5000,0.16,712.0,9,Umesh Sharma,1.06,3.72,1.74,1.87,0.7,2,Franklin Templeton Mutual Fund,2,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2,2,6.569481420414296,0.1484200051182733,2,0
Franklin India Bluechip Fund,500,5000,1.01,6205.0,10,Anand Radhakrishnan,2.72,0.71,16.83,0.92,1.28,6,Franklin Templeton Mutual Fund,2,Equity,Large Cap Mutual Funds,-1.0,25.1,9.7,22,8.733271845008325,0.6981347220709844,3,0
Franklin India Corporate Debt Fund,500,10000,0.21,748.0,10,Santosh Kamath,1.65,1.68,1.8,0.56,1.02,2,Franklin Templeton Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.4,6.3,7.0,6,6.618738983517219,0.19062035960864973,2,0
Franklin India Debt Hybrid Fund,500,10000,0.57,246.0,10,Rajasa Kakulavarapu,2.98,1.26,3.89,0.59,1.42,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7.0,4,5.5093883366279774,0.4510756193602166,2,0
Franklin India Dynamic Asset Allocation FoFs-Dir-G,500,5000,0.46,1103.0,10,Rajasa Kakulavarapu,1.87,8.463750000000001,10.19,0.3,1.39,4,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,5.9,18.2,9.2,16,7.00669522683704,0.3784364357202451,1,0
